"SUBID","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","Dependent_Feature"
156,0.668,0.23,130.4347826,68.49315068,0.617906683,124.8,79.8,1.38944,0.88844,-0.184901,0.0374818,0.331107,0.17905,0.326055,28.704,34.9524,45,0.041474654,0.126,0.254,0.684741488,64,128,0.684741488,0.126,0.024,0.488020177,0.488020177,335,89.55223881,0.128,0.166362519,0.035869512,-0.210487286,0.954407295,-2.25,7.664311014,7.620002984,7.105176964,0.999685176,1.413338274,1.999334272,109.0546253,218.1057271,436.1926992,31.34782442,24.03239249,0.027650517,1.769892077,2.494165026,2.24714233,-21.59817391,-58.33189323,-60.74382878,-66.53211144,0.634338078,0.302601116,0.099832065,0.993807967,0.975514958,0.970662303,0.89902745,0.026977727,0.006204877,0.018021121,0.33,0.338,0.320285081,0.494011976,0.505988024,0.976331361,67.22746661,0.466925618,0.496629496,0.647728634,0.381200628,4.554142328,6.739412989,8.439633897,5.03919208,1.041530475,0.809079266,1.626718904,-28.07801786,-31.64128655,79,178,64,20.2,115,82,9.2
174,1.266,0.306,98.03921569,31.25,0.700704524,99,28.8,2.0889,0.60768,-0.33858,0.282867,0.188497,0.374943,0.380429,30.294,27.648,70.2,0.017828888,0.206,0.39,0.721889639,104,196,0.721889639,0.206,0.084,NA,NA,634,47.31861199,0.208,0.221657049,0,NA,0.306255414,-1.438345,4.564093268,3.602079695,3.226288447,0.808651204,1.14344799,1.616858249,115.2673344,230.5337387,461.0632434,26.49110826,31.51685518,0.017336798,1.561128847,1.775806718,1.605190662,-26.54935602,-59.91601773,-62.01347509,-67.96078879,0.679791601,0.473544726,0.063907236,0.997266116,0.988868974,0.986510202,0.950286725,0.015613266,0.004777659,0.019766394,0.406,0.86,0.364860043,0.320695103,0.679304897,0.472093023,56.71345819,0.394390957,0.56293156,0.50720488,0.622038057,4.903442534,9.416939717,8.509338103,10.32454133,1.165929718,1.509336581,1.677376723,-25.24322757,-35.18752014,NA,NA,NA,NA,NA,NA,39.8
182,1.118,0.314,95.54140127,37.31343284,0.706096249,92.4,48,1.72172,0.8944,-0.225659,-0.0551797,0.295815,0.363275,0.378757,29.0136,38.592,44.4,0.030114576,0.122,0.392,0.759026499,62,197,0.759026499,0.122,0.078,-0.046267271,0.046267271,560,53.57142857,0.124,0.255338809,0.246722767,0.982304158,0.343510545,-2.309310516,4.962572004,3.979880875,3.591854825,0.755720295,1.068751126,1.511113527,124.494886,248.9890625,497.9733519,28.91650121,33.38227362,0.021014208,1.345528896,1.752444735,1.244025972,-26.29045941,-58.36577414,-60.63335955,-66.57008287,0.751636353,0.466778763,0.069553422,0.996160285,0.984666358,0.981427022,0.936532005,0.025954824,0.008149815,0.029017493,0.414,0.704,0.807333069,0.370304114,0.629695886,0.588068182,62.18823337,1.155349116,1.540751136,1.4697921,1.652559137,35.18816261,64.22582264,68.14442008,60.3072252,8.541568285,7.682744377,1.610366419,-20.345164,-33.97000046,33,193,106,28.46,123,80,55
189,0.802,0.282,106.3829787,57.69230769,0.718252084,98.4,78.6,1.31528,1.05062,-0.153969,-0.232045,0.212453,0.359989,0.400783,27.7488,40.872,19.8,0.058137793,0.21,0.312,0.759133644,106,157,0.759133644,0.21,0.03,0.076861041,0.076861041,402,74.62686567,0.212,0.237663599,0.21105688,0.094771489,0.415600765,-3.346563511,10.99805331,7.204736953,8.082966112,0.717498054,1.014752428,1.435272149,101.4892398,202.9638418,405.8338288,24.01028416,26.99378004,0.031041713,1.199557009,2.211153793,1.788725097,-23.06471428,-56.96240168,-58.99505384,-65.07874675,0.842142729,0.367990598,0.075829044,0.992436993,0.97161589,0.965641445,0.907602272,0.039914146,0.011255789,0.032011145,0.382,0.42,0.982595407,0.476309227,0.523690773,0.90952381,46.29149433,1.317343434,1.867937968,2.229489467,0.969518609,30.02007205,59.61485747,102.5627215,16.66699343,12.21227855,2.654096735,1.470295692,-26.94236117,-42.98234315,51,155,59,24.56,133,86,63.9
190,0.706,0.244,122.9508197,64.93506494,0.544042832,118.2,89.4,1.39082,1.05194,-0.153227,-0.213109,0.151701,0.188881,0.25942,28.8408,41.3028,28.8,0.032458884,0.14,0.256,0.54475997,71,129,0.54475997,0.14,0.012,0.009753447,0.009753447,354,84.74576271,0.142,0.17993548,0.157443598,-0.458043163,0.394135786,-1.61277177,9.678890994,6.546269389,6.873191843,0.908618513,1.285066794,1.816896807,92.12519727,184.2492092,368.4896857,26.54056417,19.73412603,0.026469293,1.642279352,2.470922818,2.374406664,-21.97048275,-57.55407805,-60.01044629,-65.59491892,0.695718465,0.307074357,0.096633937,0.994256581,0.977615267,0.972917439,0.911897296,0.026450329,0.00645388,0.018673932,0.344,0.362,0.631798743,0.487252125,0.512747875,0.950276243,44.24300899,0.892057247,1.253595559,1.427877346,0.711499669,18.48454566,36.40960703,59.26239666,13.5568174,7.18411181,2.005608768,1.990765894,-33.08929311,-42.48377985,45,165,51,18.73,124,81,43
191,1.186,0.314,95.54140127,34.40366972,0.568756975,86.4,50.4,1.70784,0.99624,-0.0583322,-0.0519228,0.271939,0.283633,0.33766,27.1296,43.9488,36,0.050093129,0.068,0.356,0.721632378,35,179,0.721632378,0.068,0.042,-0.049212831,0.049212831,594,50.50505051,0.07,0.252878649,0.224287161,1.126544745,0.481734438,-2.212212498,16.49470194,5.900209409,5.293613418,0.815327689,1.153155408,1.626472244,131.1221614,262.1524325,523.881774,35.43326379,30.07283951,0.027888858,1.602569614,1.918321094,1.579511996,-21.07307768,-59.414463,-61.5613192,-67.56516387,0.709694724,0.463185045,0.073463467,0.993696279,0.975596528,0.970592961,0.911071089,0.038401177,0.012057969,0.045543795,0.414,0.772,0.583274374,0.349072513,0.650927487,0.53626943,60.20901565,0.822773329,1.129284714,1.088051957,0.763878263,6.943962419,13.71572858,18.39603159,9.035425575,2.221201264,1.19680516,1.665211217,-25.22295271,-34.03053167,NA,NA,NA,NA,NA,NA,50.9
201,1.058,0.296,101.3513514,39.37007874,0.774418506,97.2,49.2,1.71396,0.86756,-0.246006,-0.00318554,0.32982,0.385058,0.410462,28.7712,37.4904,48,0.035929718,0.224,0.344,0.785016429,113,173,0.785016429,0.224,0.048,0.055433652,0.055433652,530,56.60377358,0.226,0.243316289,0.198297312,0.93845252,0.323836828,-2.61122877,6.749566817,4.29745908,4.34453051,0.741290192,1.04831126,1.483158719,121.8683657,243.725251,487.3955028,27.09206778,34.15483194,0.022034321,1.170251425,1.841625074,1.380694649,-25.2343745,-58.20618522,-60.17872783,-66.18265992,0.786632579,0.451370099,0.075234487,0.995842508,0.983736768,0.980230108,0.937126184,0.029296469,0.008671755,0.030995664,0.396,0.662,0.601363721,0.374291115,0.625708885,0.598187311,51.58889873,0.738110421,1.046114992,1.223622767,0.782509111,12.40776742,24.54133342,37.33820765,11.74445919,4.662392358,1.917216447,1.985353511,-29.3706309,-34.95766369,NA,NA,NA,NA,NA,NA,51.2
222,0.912,0.302,99.33774834,49.18032787,0.754236095,94.2,63.6,1.43184,0.96672,-0.190406,-0.135882,0.276918,0.35212,0.39328,28.4484,38.796,30.6,0.050810518,0.196,0.32,0.756853124,99,161,0.756853124,0.196,0.018,0.048847178,0.048847178,457,65.64551422,0.198,0.259080844,0.212955803,0.497862495,0.35412725,-3.730989297,9.397467827,6.513266541,6.711087327,0.743093927,1.050817273,1.485819014,120.2876762,240.5703065,481.0956426,30.01148039,30.34828627,0.025557934,1.051982925,1.904801888,1.404525983,-26.83518758,-58.10176167,-60.10551001,-66.0662018,0.865446192,0.427439828,0.062982101,0.994587779,0.978878325,0.974489699,0.923725797,0.035826858,0.010819711,0.032674095,0.402,0.51,0.998987604,0.440789474,0.559210526,0.788235294,46.59377445,1.317732938,1.869202072,2.303837399,1.229544337,30.44875324,60.78906541,98.52268599,23.05544483,11.7236273,3.442276067,1.134908633,-32.95464931,-42.68346634,75,162,49,18.67,135,82,68
234,0.962,0.304,98.68421053,45.59270517,0.520083477,96,50.4,1.5392,0.80808,-0.184485,0.125426,0.245407,0.33811,0.340572,29.184,33.1632,45.6,0.036060563,0.206,0.348,0.62534678,104,175,0.62534678,0.206,0.044,0.193213753,0.193213753,482,62.2406639,0.208,0.236795616,0.177181312,0.805661886,0.402414836,-1.391277634,11.86417339,8.093955852,8.21553494,0.827101753,1.169725674,1.653312714,100.0332342,200.0472927,400.0063117,29.11936541,21.01119087,0.026931024,1.131606577,2.232009118,1.681678575,-20.8696557,-57.70904334,-59.83342374,-65.80311905,0.824048318,0.38541785,0.079175244,0.99408874,0.977141369,0.972392453,0.913043466,0.029488421,0.00896448,0.028367861,0.404,0.558,0.524011084,0.41995842,0.58004158,0.724014337,53.19234076,0.747575979,0.960321889,1.140544788,0.602299906,7.402329725,14.50784889,21.14905953,7.866638239,2.591500636,1.149816612,1.806804113,-27.56361809,-36.75148562,NA,NA,NA,NA,NA,NA,64.6
276,1.002,0.294,102.0408163,42.37288136,0.65194018,96,60,1.6032,1.002,-0.138594,-0.141674,0.244238,0.349021,0.359494,28.224,42.48,36,0.054679543,0.194,0.338,0.748748092,98,170,0.748748092,0.194,0.044,0.063525162,0.063525162,502,59.76095618,0.196,0.251368361,0.184689917,0.794999265,0.437060222,-3.352044738,9.556277621,7.158702628,6.791556037,0.747858851,1.057669821,1.496711845,113.8474438,227.6946408,455.3743956,29.05552389,29.02811615,0.02819818,1.320654083,1.978844912,1.694889448,-23.01940465,-57.63542043,-59.4451341,-65.54924287,0.778287301,0.432152947,0.052871515,0.993596648,0.97565799,0.970512054,0.917172795,0.040820496,0.012001226,0.040902137,0.394,0.608,0.880390628,0.393213573,0.606786427,0.648026316,48.31170105,1.210843252,1.692127087,1.944789753,1.369308985,25.4762071,50.24882984,74.4795007,26.01815897,9.023801256,3.59309548,1.39215518,-35.55499972,-41.34564991,NA,NA,NA,NA,NA,NA,69.3
